No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
86,VRTX,Vertex Pharmaceuticals Incorporated,108.25B,420.10,-0.70%,9.65B
87,PGR,The Progressive Corporation,107.24B,183.24,0.15%,58.69B
88,DE,Deere & Company,106.91B,381.88,-1.02%,61.25B
89,C,Citigroup Inc.,103.03B,53.84,-0.84%,79.03B
90,LMT,Lockheed Martin Corporation,102.92B,425.82,-0.28%,67.57B
91,REGN,"Regeneron Pharmaceuticals, Inc.",102.75B,951.25,0.51%,13.12B
92,ADP,"Automatic Data Processing, Inc.",102.39B,249.24,-0.73%,18.59B
93,BMY,Bristol-Myers Squibb Company,100.35B,49.33,1.26%,44.94B
94,CB,Chubb Limited,100.30B,245.86,0.62%,48.17B
95,MDLZ,"Mondelez International, Inc.",99.14B,73.65,-1.49%,36.02B
96,CI,Cigna Corporation,97.62B,333.61,0.40%,189.90B
97,CVS,CVS Health Corporation,97.19B,75.54,0.61%,357.78B
98,MMC,"Marsh & McLennan Companies, Inc.",97.01B,196.76,-0.02%,22.74B
99,ADI,"Analog Devices, Inc.",96.26B,194.10,0.02%,12.31B
100,BSX,Boston Scientific Corporation,95.42B,65.14,0.18%,13.76B
101,ABNB,"Airbnb, Inc.",95.35B,146.85,-2.45%,9.60B
102,MU,"Micron Technology, Inc.",93.82B,84.99,0.12%,16.18B
103,GILD,"Gilead Sciences, Inc.",91.70B,73.60,-0.27%,27.12B
104,ZTS,Zoetis Inc.,90.28B,196.64,0.45%,8.37B
105,AMT,American Tower Corporation,89.62B,192.20,-0.75%,11.06B
106,SNPS,"Synopsys, Inc.",88.33B,578.76,1.41%,5.84B
107,ANET,"Arista Networks, Inc.",87.14B,280.15,1.54%,5.60B
108,KLAC,KLA Corporation,86.35B,638.40,3.22%,9.67B
109,FI,"Fiserv, Inc.",86.11B,143.46,-0.06%,18.81B
110,CDNS,"Cadence Design Systems, Inc.",84.84B,311.82,1.45%,3.92B
111,HCA,"HCA Healthcare, Inc.",81.97B,306.31,0.28%,63.16B
112,EQIX,"Equinix, Inc.",79.68B,848.53,-0.80%,7.95B
113,SHW,The Sherwin-Williams Company,79.45B,310.56,-0.51%,23.05B
114,ITW,Illinois Tool Works Inc.,76.46B,254.12,-0.15%,16.10B
